============================================================
llms.txt - DevUI Component Library Quick Reference
============================================================

# DevUI for Angular - Quick Reference | 快速参考

PROJECT_NAME: DevUI (ng-devui)
FRAMEWORK: Angular
LANGUAGE: TypeScript
VERSION: 18.0.0
LAST_UPDATE: 2026-02-06
DOCUMENTATION_URL: https://devui.design/components/zh-cn/get-start
GITHUB: https://github.com/DevCloudFE/ng-devui

---

## Component Catalog | 组件目录

### Basic Components | 基础组件

- **Button** (`ng-devui/button`)
  - Selector: `d-button`
  - Module: `ButtonModule`
  - Docs: https://devui.design/components/zh-cn/button/demo

- **Card** (`ng-devui/card`)
  - Selector: `d-card`
  - Module: `CardModule`
  - Docs: https://devui.design/components/zh-cn/card/demo

- **Icon** (`ng-devui/icon`)
  - Selector: `d-icon`
  - Module: `IconModule`
  - Docs: https://devui.design/components/zh-cn/icon/demo

- **Badge** (`ng-devui/badge`)
  - Selector: `d-badge`
  - Module: `BadgeModule`
  - Docs: https://devui.design/components/zh-cn/badge/demo

- **Avatar** (`ng-devui/avatar`)
  - Selector: `d-avatar`
  - Module: `AvatarModule`
  - Docs: https://devui.design/components/zh-cn/avatar/demo

### Form Components | 表单组件

- **TextInput** (`ng-devui/text-input`)
  - Selector: `d-text-input`
  - Module: `TextInputModule`
  - Docs: https://devui.design/components/zh-cn/text-input/demo

- **Textarea** (`ng-devui/textarea`)
  - Selector: `d-textarea`
  - Module: `TextareaModule`
  - Docs: https://devui.design/components/zh-cn/textarea/demo

- **Select** (`ng-devui/select`)
  - Selector: `d-select`
  - Module: `SelectModule`
  - Docs: https://devui.design/components/zh-cn/select/demo

- **Checkbox** (`ng-devui/checkbox`)
  - Selector: `d-checkbox`
  - Module: `CheckBoxModule`
  - Docs: https://devui.design/components/zh-cn/checkbox/demo

- **Radio** (`ng-devui/radio`)
  - Selector: `d-radio`
  - Module: `RadioModule`
  - Docs: https://devui.design/components/zh-cn/radio/demo

- **Switch/Toggle** (`ng-devui/toggle`)
  - Selector: `d-toggle`
  - Module: `ToggleModule`
  - Docs: https://devui.design/components/zh-cn/toggle/demo

- **InputNumber** (`ng-devui/input-number`)
  - Selector: `d-input-number`
  - Module: `InputNumberModule`
  - Docs: https://devui.design/components/zh-cn/input-number/demo

- **Slider** (`ng-devui/slider`)
  - Selector: `d-slider`
  - Module: `SliderModule`
  - Docs: https://devui.design/components/zh-cn/slider/demo

